Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
1834;50570024;Deutsche Bank Privat und Geschäftskunden AG;Neu-Isenburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1835;50570024;Deutsche Bank Privat und Geschäftskunden AG;Obertshausen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1836;50570024;Deutsche Bank Privat und Geschäftskunden AG;Offenbach am Main;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1837;50570024;Deutsche Bank Privat und Geschäftskunden AG;Rodgau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1838;50580005;Dresdner Bank;Offenbach ;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1839;50580005;Dresdner Bank;Obertshausen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1840;50580005;Dresdner Bank;Seligenstadt;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1841;50580005;Dresdner Bank;Heusenstamm;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1842;50580005;Dresdner Bank;Mühlheim ;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1843;50580005;Dresdner Bank;Dietzenbach;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1844;50590000;Offenbacher Volksbank -alt-;Offenbach am Main;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1845;50592200;Volksbank Dreieich;Dreieich;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1846;50640015;Commerzbank;Hanau;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1847;50650023;Sparkasse Hanau;Hanau;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h008.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1848;50652124;Sparkasse Langen-Seligenstadt;Langen-Seligenstadt;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h014.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1849;50661639;VR Bank Main-Kinzig-Büdingen;Büdingen, Hess;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1850;50661816;Volksbank Heldenbergen Ndl d Frankfurter VB;Nidderau, Hess;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1851;50662299;Raiffeisenbank Bruchköbel -alt-;Bruchköbel;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1852;50662669;Raiffeisenbank Maintal Ndl d Frankfurter VB;Maintal;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1853;50663699;Raiffeisenbank;Rodenbach b Hanau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1854;50670009;Deutsche Bank AG;Hanau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1855;50670009;Deutsche Bank AG;Wächtersbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1856;50670024;Deutsche Bank Privat und Geschäftskunden AG;Hanau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1857;50670024;Deutsche Bank Privat und Geschäftskunden AG;Wächtersbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1858;50680002;Dresdner Bank;Hanau;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1859;50690000;Volksbank Raiffeisenbank Hanau Ndl d Frankf VB;Hanau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1860;50692100;Volksbank Seligenstadt;Seligenstadt, Hess;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1861;50750094;Kreissparkasse Gelnhausen;Gelnhausen;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h033.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1862;50761333;Volksbank;Büdingen, Hess;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1863;50761613;Volksbank Büdingen -alt-;Nidda;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1864;50762649;VR Bank Bad Orb-Gelnhausen;Gelnhausen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1865;50763319;Raiffeisenbank Vogelsberg;Birstein;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1866;50780006;Dresdner Bank;Gelnhausen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1867;50790000;VR Bank Bad Orb-Gelnhausen;Gelnhausen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1868;50793300;Birsteiner Volksbank;Birstein;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1869;50794300;VR Bank Wächtersbach/Bad Soden-Salmünster -alt;Wächtersbach;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1870;50820292;Bayerische Hypo- und Vereinsbank AG - HVB;Darmstadt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
1871;50840005;Commerzbank;Darmstadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1872;50840005;Commerzbank;Groß-Gerau;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1873;50840005;Commerzbank;Langen ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1874;50840005;Commerzbank;Pfungstadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1875;50840005;Commerzbank;Bensheim;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1876;50850150;Sparkasse Darmstadt;Darmstadt;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h054.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1877;50851952;Sparkasse Odenwaldkreis;Odenwaldkreis;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h023.s-hbci.de;;2.2 ;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1878;50852553;Sparkasse Groß-Gerau;Groß-Gerau;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h006.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;01.11.2004;;;;;
1879;50852651;Sparkasse Dieburg;Dieburg;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h015.s-hbci.de;;2.2 ;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1880;50861393;Spar- und Darlehnskasse Zell -alt-;Bad König;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1881;50861501;Raiffeisenbank Nördliche Bergstraße;Alsbach-Hähnlein;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1882;50862311;Volksbank Gräfenhausen -alt-;Weiterstadt;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1883;50862408;Vereinigte Volksbank Griesheim-Weiterstadt;Griesheim, Hess;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1884;50862703;Volksbank Gersprenztal-Otzberg;Reinheim, Odenw;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1885;50862835;Raiffeisenbank Schaafheim;Schaafheim;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1886;50862903;Volksbank Mainspitze;Ginsheim-Gustavsburg;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1887;50863317;Volksbank Seeheim-Jugenheim;Seeheim-Jugenheim;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1888;50863513;Volksbank Odenwald;Michelstadt;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1889;50863906;Volksbank Modautal Modau;Ober-Ramstadt;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1890;50864322;Volksbank Modau;Ober-Ramstadt;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1891;50864421;Vereinigte Volksbank -alt-;Rodgau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1892;50864808;Volksbank Seeheim-Jugenheim;Seeheim-Jugenheim;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1893;50865224;VB Mörfelden-Walldorf Ndl d Frankfurter VB;Mörfelden-Walldorf;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1894;50865503;Volksbank;Eppertshausen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1895;50870005;Deutsche Bank AG;Griesheim, Hess;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1896;50870005;Deutsche Bank AG;Darmstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1897;50870005;Deutsche Bank AG;Groß-Gerau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1898;50870005;Deutsche Bank AG;Michelstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1899;50870024;Deutsche Bank Privat und Geschäftskunden AG;Darmstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1900;50870024;Deutsche Bank Privat und Geschäftskunden AG;Griesheim, Hess;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1901;50870024;Deutsche Bank Privat und Geschäftskunden AG;Groß-Gerau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1902;50870024;Deutsche Bank Privat und Geschäftskunden AG;Michelstadt;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1903;50880050;Dresdner Bank;Darmstadt;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1904;50880050;Dresdner Bank;Bensheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1905;50880050;Dresdner Bank;Griesheim;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1906;50880050;Dresdner Bank;Michelstadt;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1907;50880050;Dresdner Bank;Pfungstadt;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1908;50890000;Volksbank Darmstadt - Kreis Bergstraße;Darmstadt;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1909;50892500;Groß-Gerauer Volksbank;Groß-Gerau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1910;50950068;Sparkasse Bensheim;Bensheim;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h016.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1911;50951469;Sparkasse Starkenburg;Starkenburg;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h009.s-hbci.de;;2.2 ;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1912;50960101;Volksbank Bergstraße;Bensheim;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1913;50961206;Raiffeisenbank Ried;Bürstadt;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1914;50961312;Raiffeisenbank Groß-Rohrheim;Groß-Rohrheim;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1915;50961592;Volksbank Weschnitztal;Rimbach, Odenw;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1916;50961685;Volksbank Überwald-Gorxheimertal;Abtsteinach;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1917;50970004;Deutsche Bank AG;Bensheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1918;50970004;Deutsche Bank AG;Heppenheim (Bergstraße);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1919;50970024;Deutsche Bank Privat und Geschäftskunden AG;Bensheim;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1920;50970024;Deutsche Bank Privat und Geschäftskunden AG;Heppenheim (Bergstraße);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1921;50991400;Volksbank Kreis Bergstraße;Lampertheim, Hess;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1922;51010111;SEB AG;Wiesbaden;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
1923;51020000;BHF-Bank AG;Wiesbaden;BV Zahlungssysteme GmbH;BdB;hbciserver.bankverlag.de;nicht unterstützt;4.0;;ja;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V4.0;24.02.2008;;;;;
1924;51020186;Bayerische Hypo- und Vereinsbank AG - HVB;Wiesbaden;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
1925;51040038;Commerzbank;Rüdesheim ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1926;51040038;Commerzbank;Wiesbaden;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
1927;51050015;Nassauische Sparkasse ;Nassau;Finanz Informatik GmbH & Co. KG (Hessen);DSGV;h001.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-he.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;18.03.2005;;;;;
1928;51070021;Deutsche Bank AG;Eltville am Rhein;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1929;51070021;Deutsche Bank AG;Wiesbaden;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1930;51070021;Deutsche Bank AG;Taunusstein;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1931;51070024;Deutsche Bank Privat und Geschäftskunden AG;Eltville am Rhein;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1932;51070024;Deutsche Bank Privat und Geschäftskunden AG;Taunusstein;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1933;51070024;Deutsche Bank Privat und Geschäftskunden AG;Wiesbaden;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1934;51080060;Dresdner Bank;Bingen ;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1935;51080060;Dresdner Bank;Bad Kreuznach;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1936;51080060;Dresdner Bank;Wiesbaden;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1937;51080060;Dresdner Bank;Eltville ;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1938;51080060;Dresdner Bank;Idar-Oberstein;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1939;51080060;Dresdner Bank;Taunusstein;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1940;51090000;Wiesbadener Volksbank;Wiesbaden;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1941;51091400;Volksbank Eltville;Eltville am Rhein;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1942;51091500;Rheingauer Volksbank;Geisenheim, Rheingau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
1943;51091700;vr bank Untertaunus;Idstein;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
